DTC,DTD,Time,Val,Unit,Year
HQ0,MANUAL-Observed Discharge,2021-01-04 08:00:00,4.911,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-05 08:00:00,4.911,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-06 08:00:00,4.911,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-07 08:00:00,3.291,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-08 08:00:00,3.291,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-09 08:00:00,3.291,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-10 08:00:00,3.291,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-11 08:00:00,3.291,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-12 08:00:00,3.291,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-13 08:00:00,3.291,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-14 08:00:00,2.528,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-15 08:00:00,2.528,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-16 08:00:00,2.528,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-17 08:00:00,2.528,m3/sec,2021
